X_54N,Y_54N,depth_m,M1_01,date,time,ID,lat10,lon10
-291336,3752213,-34680,-0.4,20200101,521653,L_1,33.615277780000000,132.481388900000000
-150020,3788347,-27120,-0.2,20200101,525136,L_2,34.034166669999900,133.965000000000000
-298903,3754276,-39920,-0.2,20200101,531160,L_3,33.628055560000000,132.398888900000000
-154862,3792655,-31390,-0.5,20200101,585800,L_4,34.069722220000000,133.909722200000000
-154862,3792655,-31390,-0.5,20200101,590275,L_5,34.069722220000000,133.909722200000000
-159138,3791713,-29470,-0.3,20200101,1010443,L_6,34.058611110000000,133.864444399999000
-157220,3792913,-28370,-0.2,20200101,1014116,L_7,34.070555560000000,133.884166700000000
-158667,3793635,-29770,-0.2,20200101,1020104,L_8,34.076111109999900,133.868055599999000
-180453,3788945,-30100,-0.5,20200101,2161945,L_9,34.020277780000000,133.637499999999000
-152223,3792720,-27690,-0.5,20200101,2164542,L_10,34.071944440000000,133.938055600000000
-147862,3789284,-29730,0.0,20200101,4425158,L_11,34.043888889999900,133.987500000000000
71302,3848764,-33640,-0.2,20200101,5022175,L_12,34.691111110000000,136.321388899999000
73331,3851792,-36330,-0.1,20200101,5030980,L_13,34.719166670000000,136.341944399999000
-153017,3793179,-24940,-0.5,20200101,6152085,L_14,34.075555559999900,133.929166699999000
24930,3772920,-24650,0.0,20200101,6221084,L_15,33.989444440000000,135.858888900000000
-154007,3790827,-27790,-0.4,20200101,9042010,L_16,34.053888890000000,133.920277800000000
-155848,3789620,-30550,-0.2,20200101,9071067,L_17,34.041944440000000,133.901388900000000
-154215,3790065,-27990,-0.4,20200101,9074368,L_18,34.046944439999900,133.918611099999000
-156372,3787670,-31280,0.0,20200101,9080093,L_19,34.024166670000000,133.897222199999000
-176674,3795101,-28290,-0.6,20200101,10351070,L_20,34.077777779999900,133.673333299999000
-179849,3792287,-26390,-0.3,20200101,10384362,L_21,34.050555559999900,133.641388900000000
-176391,3792565,-25390,0.0,20200101,10384873,L_22,34.055277779999900,133.678333299999000
-172984,3795022,-31270,0.1,20200101,11471983,L_23,34.079444440000000,133.713055599999000
-177298,3793252,-25590,-0.3,20200101,11472728,L_24,34.060833330000000,133.668055600000000
-153129,3789338,-34480,0.0,20200101,12493500,L_25,34.041111110000000,133.930833299999000
-154862,3792655,-31390,-0.3,20200101,12502820,L_26,34.069722220000000,133.909722200000000
-148920,3787433,-26720,-0.3,20200101,12504198,L_27,34.026666669999900,133.977499999999000
-152122,3791192,-27890,-0.3,20200101,12510505,L_28,34.058333330000000,133.940277799999000
-158135,3791642,-29970,0.0,20200101,12533245,L_29,34.058611110000000,133.875277799999000
-152263,3788781,-28880,-0.3,20200101,13052246,L_30,34.036666670000000,133.940555600000000
-158636,3790032,-26960,-0.4,20200101,13371537,L_31,34.043888889999900,133.871111100000000
-177076,3791311,-28290,0.0,20200101,14084376,L_32,34.043611110000000,133.671944400000000
-173444,3791484,-27290,-0.2,20200101,14092871,L_33,34.047499999999900,133.710833299999000
-176426,3791357,-24790,-0.4,20200101,14101114,L_34,34.044444439999900,133.678888900000000
-179766,3793430,-25290,-0.1,20200101,15362274,L_35,34.060833330000000,133.641388900000000
192153,4021877,-29340,0.3,20200101,16283351,L_36,36.292777780000000,137.572222199999000
-147521,3787492,-36820,-0.1,20200101,17034918,L_37,34.028055559999900,133.992500000000000
-167722,3793094,-33470,0.1,20200101,17342796,L_38,34.065555560000000,133.771111100000000
-156801,3794094,-38960,-0.3,20200101,17414080,L_39,34.081388889999900,133.887777800000000
-177702,3786201,-26860,-0.6,20200101,17524038,L_40,33.997500000000000,133.669166700000000
-177820,3786364,-27160,-0.6,20200101,18193038,L_41,33.998888890000000,133.667777800000000
-158320,3787154,-26460,-0.4,20200101,18501936,L_42,34.018333329999900,133.876666699999000
-150626,3788916,-25080,-0.2,20200101,19303651,L_43,34.038888890000000,133.958055599999000
-452617,3574728,-18940,0.0,20200101,20191513,L_44,31.908333330000000,130.947499999999000
-455233,3576130,-25120,0.1,20200101,20222863,L_45,31.918611110000000,130.918888900000000
-164082,3787559,-27860,-0.4,20200101,21432338,L_46,34.018333329999900,133.814444400000000
